,batch,ctype_ubcupdate,genotype_crct_x,genotype_crct_y,timepoint
197,65702,Bergmann glia,604,WT,18wk
198,65702,Deep cerebellar nuclei,255,WT,18wk
199,65702,Endothelial cell,174,WT,18wk
200,65702,GABAergic interneuron 1,877,WT,18wk
201,65702,GABAergic interneuron 2,223,WT,18wk
202,65702,GABAergic interneuron 3,46,WT,18wk
203,65702,Granule cell,12265,WT,18wk
204,65702,Microglia,52,WT,18wk
205,65702,Oligodendrocyte,576,WT,18wk
206,65702,Oligodendrocyte progenitor cell,72,WT,18wk
207,65702,Pericyte,105,WT,18wk
208,65702,Purkinje cell,139,WT,18wk
209,65702,Unipolar brush cell,26,WT,18wk
210,6571,Astrocyte,507,SCA1,18wk
211,6571,Bergmann glia,566,SCA1,18wk
212,6571,Deep cerebellar nuclei,33,SCA1,18wk
213,6571,Endothelial cell,266,SCA1,18wk
214,6571,GABAergic interneuron 1,720,SCA1,18wk
215,6571,GABAergic interneuron 2,202,SCA1,18wk
216,6571,GABAergic interneuron 3,35,SCA1,18wk
217,6571,Granule cell,15209,SCA1,18wk
218,6571,Microglia,54,SCA1,18wk
219,6571,Oligodendrocyte,466,SCA1,18wk
220,6571,Oligodendrocyte progenitor cell,48,SCA1,18wk
221,6571,Pericyte,94,SCA1,18wk
222,6571,Purkinje cell,109,SCA1,18wk
223,6571,Unipolar brush cell,24,SCA1,18wk
224,65731,Astrocyte,585,SCA1,18wk
225,65731,Bergmann glia,591,SCA1,18wk
226,65731,Deep cerebellar nuclei,75,SCA1,18wk
227,65731,Endothelial cell,238,SCA1,18wk
228,65731,GABAergic interneuron 1,1022,SCA1,18wk
229,65731,GABAergic interneuron 2,274,SCA1,18wk
230,65731,GABAergic interneuron 3,76,SCA1,18wk
231,65731,Granule cell,15346,SCA1,18wk
232,65731,Microglia,72,SCA1,18wk
233,65731,Oligodendrocyte,620,SCA1,18wk
234,65731,Oligodendrocyte progenitor cell,45,SCA1,18wk
235,65731,Pericyte,75,SCA1,18wk
236,65731,Purkinje cell,148,SCA1,18wk
237,65731,Unipolar brush cell,47,SCA1,18wk
238,65732,Astrocyte,701,SCA1,18wk
239,65732,Bergmann glia,678,SCA1,18wk
240,65732,Deep cerebellar nuclei,68,SCA1,18wk
241,65732,Endothelial cell,248,SCA1,18wk
242,65732,GABAergic interneuron 1,1060,SCA1,18wk
243,65732,GABAergic interneuron 2,294,SCA1,18wk
244,65732,GABAergic interneuron 3,58,SCA1,18wk
245,65732,Granule cell,16538,SCA1,18wk
246,65732,Microglia,84,SCA1,18wk
247,65732,Oligodendrocyte,669,SCA1,18wk
248,65732,Oligodendrocyte progenitor cell,72,SCA1,18wk
249,65732,Pericyte,105,SCA1,18wk
250,65732,Purkinje cell,145,SCA1,18wk
251,65732,Unipolar brush cell,55,SCA1,18wk
252,1974,Astrocyte,214,WT,24wk
253,1974,Bergmann glia,231,WT,24wk
254,1974,Deep cerebellar nuclei,91,WT,24wk
255,1974,Endothelial cell,71,WT,24wk
256,1974,GABAergic interneuron 1,378,WT,24wk
257,1974,GABAergic interneuron 2,109,WT,24wk
258,1974,GABAergic interneuron 3,27,WT,24wk
259,1974,Granule cell,10587,WT,24wk
260,1974,Microglia,36,WT,24wk
261,1974,Oligodendrocyte,294,WT,24wk
262,1974,Oligodendrocyte progenitor cell,36,WT,24wk
263,1974,Pericyte,33,WT,24wk
264,1974,Purkinje cell,70,WT,24wk
265,1974,Unipolar brush cell,19,WT,24wk
266,2020,Astrocyte,160,WT,24wk
267,2020,Bergmann glia,203,WT,24wk
268,2020,Deep cerebellar nuclei,38,WT,24wk
269,2020,Endothelial cell,34,WT,24wk
270,2020,GABAergic interneuron 1,278,WT,24wk
271,2020,GABAergic interneuron 2,75,WT,24wk
272,2020,GABAergic interneuron 3,13,WT,24wk
273,2020,Granule cell,7682,WT,24wk
274,2020,Microglia,31,WT,24wk
275,2020,Oligodendrocyte,205,WT,24wk
276,2020,Oligodendrocyte progenitor cell,27,WT,24wk
277,2020,Pericyte,20,WT,24wk
278,2020,Purkinje cell,30,WT,24wk
279,2020,Unipolar brush cell,22,WT,24wk
280,20202,Astrocyte,188,WT,24wk
281,20202,Bergmann glia,222,WT,24wk
282,20202,Deep cerebellar nuclei,41,WT,24wk
283,20202,Endothelial cell,54,WT,24wk
284,20202,GABAergic interneuron 1,336,WT,24wk
285,20202,GABAergic interneuron 2,97,WT,24wk
286,20202,GABAergic interneuron 3,21,WT,24wk
287,20202,Granule cell,8661,WT,24wk
288,20202,Microglia,29,WT,24wk
289,20202,Oligodendrocyte,254,WT,24wk
290,20202,Oligodendrocyte progenitor cell,23,WT,24wk
291,20202,Pericyte,25,WT,24wk
292,20202,Purkinje cell,45,WT,24wk
293,20202,Unipolar brush cell,17,WT,24wk
294,1589,Astrocyte,144,SCA1,24wk
295,1589,Bergmann glia,174,SCA1,24wk
296,1589,Deep cerebellar nuclei,26,SCA1,24wk
297,1589,Endothelial cell,42,SCA1,24wk
298,1589,GABAergic interneuron 1,233,SCA1,24wk
299,1589,GABAergic interneuron 2,66,SCA1,24wk
300,1589,GABAergic interneuron 3,16,SCA1,24wk
301,1589,Granule cell,5201,SCA1,24wk
302,1589,Microglia,19,SCA1,24wk
303,1589,Oligodendrocyte,180,SCA1,24wk
304,1589,Oligodendrocyte progenitor cell,20,SCA1,24wk
305,1589,Pericyte,28,SCA1,24wk
306,1589,Purkinje cell,51,SCA1,24wk
307,1589,Unipolar brush cell,16,SCA1,24wk
308,2021,Astrocyte,201,SCA1,24wk
309,2021,Bergmann glia,183,SCA1,24wk
310,2021,Deep cerebellar nuclei,103,SCA1,24wk
311,2021,Endothelial cell,51,SCA1,24wk
312,2021,GABAergic interneuron 1,283,SCA1,24wk
313,2021,GABAergic interneuron 2,90,SCA1,24wk
314,2021,GABAergic interneuron 3,14,SCA1,24wk
315,2021,Granule cell,7089,SCA1,24wk
316,2021,Microglia,29,SCA1,24wk
317,2021,Oligodendrocyte,208,SCA1,24wk
318,2021,Oligodendrocyte progenitor cell,22,SCA1,24wk
319,2021,Pericyte,26,SCA1,24wk
320,2021,Purkinje cell,35,SCA1,24wk
321,2021,Unipolar brush cell,15,SCA1,24wk
322,20212,Astrocyte,130,SCA1,24wk
323,20212,Bergmann glia,151,SCA1,24wk
324,20212,Deep cerebellar nuclei,76,SCA1,24wk
325,20212,Endothelial cell,46,SCA1,24wk
326,20212,GABAergic interneuron 1,171,SCA1,24wk
327,20212,GABAergic interneuron 2,56,SCA1,24wk
328,20212,GABAergic interneuron 3,12,SCA1,24wk
329,20212,Granule cell,5960,SCA1,24wk
330,20212,Microglia,30,SCA1,24wk
331,20212,Oligodendrocyte,175,SCA1,24wk
332,20212,Oligodendrocyte progenitor cell,22,SCA1,24wk
333,20212,Pericyte,17,SCA1,24wk
334,20212,Purkinje cell,28,SCA1,24wk
335,20212,Unipolar brush cell,12,SCA1,24wk
336,5812,Astrocyte,200,WT,30wk
337,5812,Bergmann glia,233,WT,30wk
338,5812,Deep cerebellar nuclei,21,WT,30wk
339,5812,Endothelial cell,74,WT,30wk
340,5812,GABAergic interneuron 1,311,WT,30wk
341,5812,GABAergic interneuron 2,120,WT,30wk
342,5812,GABAergic interneuron 3,17,WT,30wk
343,5812,Granule cell,7208,WT,30wk
344,5812,Microglia,34,WT,30wk
345,5812,Oligodendrocyte,241,WT,30wk
346,5812,Oligodendrocyte progenitor cell,30,WT,30wk
347,5812,Pericyte,24,WT,30wk
348,5812,Purkinje cell,50,WT,30wk
349,5812,Unipolar brush cell,9,WT,30wk
350,58231,Astrocyte,343,SCA1,30wk
351,58231,Bergmann glia,429,SCA1,30wk
352,58231,Deep cerebellar nuclei,62,SCA1,30wk
353,58231,Endothelial cell,140,SCA1,30wk
354,58231,GABAergic interneuron 1,556,SCA1,30wk
355,58231,GABAergic interneuron 2,197,SCA1,30wk
356,58231,GABAergic interneuron 3,48,SCA1,30wk
357,58231,Granule cell,11381,SCA1,30wk
358,58231,Microglia,48,SCA1,30wk
359,58231,Oligodendrocyte,456,SCA1,30wk
360,58231,Oligodendrocyte progenitor cell,39,SCA1,30wk
361,58231,Pericyte,35,SCA1,30wk
362,58231,Purkinje cell,83,SCA1,30wk
363,58231,Unipolar brush cell,34,SCA1,30wk
364,58232,Astrocyte,251,WT,30wk
365,58232,Bergmann glia,323,WT,30wk
366,58232,Deep cerebellar nuclei,14,WT,30wk
367,58232,Endothelial cell,116,WT,30wk
368,58232,GABAergic interneuron 1,477,WT,30wk
369,58232,GABAergic interneuron 2,128,WT,30wk
370,58232,GABAergic interneuron 3,35,WT,30wk
371,58232,Granule cell,10561,WT,30wk
372,58232,Microglia,30,WT,30wk
373,58232,Oligodendrocyte,279,WT,30wk
374,58232,Oligodendrocyte progenitor cell,22,WT,30wk
375,58232,Pericyte,41,WT,30wk
376,58232,Purkinje cell,85,WT,30wk
377,58232,Unipolar brush cell,5,WT,30wk
378,5822,Astrocyte,237,WT,30wk
379,5822,Bergmann glia,304,WT,30wk
380,5822,Deep cerebellar nuclei,18,WT,30wk
381,5822,Endothelial cell,113,WT,30wk
382,5822,GABAergic interneuron 1,372,WT,30wk
383,5822,GABAergic interneuron 2,137,WT,30wk
384,5822,GABAergic interneuron 3,30,WT,30wk
385,5822,Granule cell,8998,WT,30wk
386,5822,Microglia,32,WT,30wk
387,5822,Oligodendrocyte,286,WT,30wk
388,5822,Oligodendrocyte progenitor cell,22,WT,30wk
389,5822,Pericyte,41,WT,30wk
390,5822,Purkinje cell,68,WT,30wk
391,5822,Unipolar brush cell,12,WT,30wk
392,58241,Astrocyte,316,SCA1,30wk
393,58241,Bergmann glia,376,SCA1,30wk
394,58241,Deep cerebellar nuclei,33,SCA1,30wk
395,58241,Endothelial cell,138,SCA1,30wk
396,58241,GABAergic interneuron 1,603,SCA1,30wk
397,58241,GABAergic interneuron 2,190,SCA1,30wk
